id,username,created_at,lng,lat,text
1516664508076355589,jonaweenie,Wed Apr 20 06:26:11 +0000 2022,-122.194398,47.481598,look at her singing her little heart out 🥹💜 https://t.co/HI4LwvQ9GB
1516664508470628352,DjmagicdSfnrg,Wed Apr 20 06:26:11 +0000 2022,-122.4359785,37.7706565,@yokoono @george_clinton @thebeatles @herbiehancock @OutpostStudios @RollingStone @rockhall @sunrecords… https://t.co/zmO1uTfVot
1516664509712064515,Jrforchange,Wed Apr 20 06:26:12 +0000 2022,-119.2475855,34.4499425,@bessbell Brilliant!  I’m doing that for sure❤️
1516664509699555329,RyanMcEntee10,Wed Apr 20 06:26:12 +0000 2022,-155.9852495,19.6645795,"Two cigarettes and two inhales later.   @KailuaKonaBeach 🤔Now, precipitation https://t.co/DUmpKFL1L7"
1516664511113142276,HelicoptersofDC,Wed Apr 20 06:26:12 +0000 2022,-76.979947,38.907669,#N911AS is a AS50 at altitude: 500ft DC Police Helicopter https://t.co/rhihsjaTeZ https://t.co/mp5ptNtKFC
1516664514015416323,alexoid,Wed Apr 20 06:26:13 +0000 2022,-119.30660750000001,37.2691755,@lokesh Tried a few but Pixaki works best for me. Very focused and fast.
1516664515315867651,Kristhebarber82,Wed Apr 20 06:26:13 +0000 2022,-82.479513,28.087674999999997,Man rest up Book 🙏
1516664518746718208,Tazmarac,Wed Apr 20 06:26:14 +0000 2022,-84.46133850000001,33.452588,@commondreams Happy days for employees.
1516664519837192195,OatwayNeil,Wed Apr 20 06:26:14 +0000 2022,-119.30660750000001,37.2691755,"@elonmusk Fitzgerald’s classic was Beautiful and the Damned, in my opinion."
1516664522420936708,webwtb687,Wed Apr 20 06:26:15 +0000 2022,-79.813503,40.184895499999996,"@RollingStone @r0bbier0berts0n An amazing artist, he lives forever"
1516664522681073666,MColetteK,Wed Apr 20 06:26:15 +0000 2022,-90.375446,38.699745,"INCOME INEQUALITY &amp; WEALTH DISTRIBUTION If WEALTH wasn’t an EXCUSE to have POSSIBLE UNTREATED MEDICAL, MENTAL… https://t.co/DnaJYD0PXV"
1516664526921379840,srcpcsoha,Wed Apr 20 06:26:16 +0000 2022,-119.30660750000001,37.2691755,HONESTLY LIKE WHAT WERE THEY THINKING LMAOOOOOO
1516664531270914049,FlowerFembot,Wed Apr 20 06:26:17 +0000 2022,-82.67290299999999,27.7957195,@twicrates I don’t know who you are but I am putting you here for a time stamp to come check on later @nytimes
1516664532344606722,majorpsyche,Wed Apr 20 06:26:17 +0000 2022,-111.85839849999999,33.639340000000004,Pls get it off my hands selling smokers club music festival tickets https://t.co/q7nybz6J1k
1516664533535887360,dap9573,Wed Apr 20 06:26:17 +0000 2022,-82.985772,39.9946835,@RepDLesko @JDVance1 you can thank @POTUS  #jdvancehatesohio https://t.co/YVvabbpAqo
1516664536207527938,ToniTurnerWong1,Wed Apr 20 06:26:18 +0000 2022,-122.630908,45.536402,@NotKelseySmith @opensea Let's just kick back and do some people watchin!☺️😊🥰
1516664546420834305,ShawnCarfast,Wed Apr 20 06:26:20 +0000 2022,-96.7617535,32.819858499999995,Videos on the way when I get back from Dallas 🏎💨
1516664546466824192,kileeyangel,Wed Apr 20 06:26:20 +0000 2022,-117.000831,32.7055765,Need to go back to the gym it’s so hard to make time in the day because I be so busy 😅😅😅 beside from work
1516664551990652931,JoinKHSC,Wed Apr 20 06:26:22 +0000 2022,-76.492686,44.224351,"Want to work at Kingston Health Sciences Centre? We're hiring in #Kingston, Ontario! Click for details: https://t.co/kftyslM68N"
1516664558030626818,DankGameAlert,Wed Apr 20 06:26:23 +0000 2022,-82.20274599999999,28.3668725,"🕹Bitc*in (sorry, don’t want the cryp¥o fuck u bros in my replies) and sports gambling⚖️🎱🥶are recent phenomenons des… https://t.co/MU7PVJIHkA"
1516664557732835331,mikeydelnegro,Wed Apr 20 06:26:23 +0000 2022,-71.0887125,42.3136695,Happy 4/20  😗💨🍃🍂 #HBOMax #TheBatman https://t.co/HxbP8lvESD
1516664559993384960,adfvbricks,Wed Apr 20 06:26:24 +0000 2022,-122.81848600000001,49.111519,The US Open Cup is really cool. That's all.
